id_code|clean_code|Description|parent_description
2490|350699|Glues, prepared, and other prepared adhesives, n.e.s.|ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES
2491|350700|Enzymes; prepared enzymes, n.e.s.|ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES
2492|350710|Rennet and concentrates thereof|ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES
2493|350790|Enzymes and prepared enzymes, n.e.s. (excl. rennet and concentrates thereof)|ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES
2494|360021|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2495|360100|Propellent powders|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2496|360200|Prepared explosives (excl. propellent powders)|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2497|360300|Safety fuses; detonating fuses; percussion or detonating caps; igniters; electric detonators (excl. grenade detonators and cartridge cases, whether or not with percussion caps)|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2498|360400|Fireworks, signalling flares, rain rockets, fog signals and other pyrotechnic articles (excl. cartridge blanks)|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2499|360410|Fireworks|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2500|360490|Signalling flares, rain rockets, fog signals and other pyrotechnic articles (excl. fireworks and cartridge blanks)|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2501|360500|Matches (excl. pyrotechnic articles of heading 3604)|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2502|360600|Ferro-cerium and other pyrophoric alloys in all forms; metaldehyde, hexamethylenetetramine and similar products in tablets, sticks or similar forms, for use as fuel; alcohol-based fuels and prepared fuels of a similar kind, solid or in paste form; liquid gases and liquid fuels for lighters or igniters, in containers of <= 300 cc; resin torches, firelighters and the like|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2503|360610|Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette or similar lighters, with a capacity of <= 300 cm³|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2504|360690|Ferro-cerium and other pyrophoric alloys in all forms; metaldehyde, hexamethylenetetramine and similar products in tablets, sticks or similar forms, for use as fuel; alcohol-based fuels and prepared fuels of a similar kind, whether solid or in paste form; resin torches, firelighters and the like|EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
2505|370021|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2506|370100|Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2507|370110|Photographic plates and film in the flat, sensitised, unexposed, for X-ray (excl. of paper, paperboard and textiles)|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2508|370120|Instant print film in the flat, sensitised, unexposed, whether or not in packs|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2509|370130|Photographic plates and film in the flat, sensitised, unexposed, with any side > 255 mm|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2511|370191|"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles, for colour photography ""polychrome"" (excl. instant print film)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2512|370199|Photographic plates and film in the flat for monochrome photography, sensitised, unexposed, of any material other than paper, paperboard or textiles (excl. X-ray film and photographic plates, film in the flat with any side > 255 mm, and instant print film)|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2513|370200|Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2514|370210|Photographic film in rolls, unexposed, for X-ray (excl. of paper, paperboard or textiles)|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2516|370231|"Photographic film ""incl. instant print film"", in rolls, sensitised, unexposed, without perforations, width <= 105 mm, for colour photography ""polychrome"" (excl. that of paper, paperboard or textiles)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2517|370232|"Photographic film ""incl. instant print film"", in rolls, sensitised, unexposed, without perforations, width <= 105 mm, with silver halide emulsion for monochrome photography (excl. that of paper, paperboard or textiles and X-ray film)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2518|370239|"Photographic film ""incl. instant print film"", sensitised, in rolls, unexposed, without perforations, width <= 105 mm, for monochrome photography (excl. film with silver halide emulsion, film made of paper, paperboard or textiles and X-ray film)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2520|370241|"Photographic film ""incl. instant print film"", sensitised, in rolls, unexposed, without perforations, width > 610 mm, length > 200 m, for colour photography ""polychrome"" (excl. that of paper, paperboard or textiles)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2521|370242|"Photographic film ""incl. instant print film"", sensitised, in rolls, unexposed, without perforations, width > 610 mm, length > 200 m, for monochrome photography (excl. that of paper, paperboard or textiles)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2522|370243|"Photographic film ""incl. instant print film"", sensitised, in rolls, unexposed, without perforations, width > 610 mm, length <= 200 m (excl. that of paper, paperboard or textiles)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2523|370244|"Photographic film ""incl. instant print film""m, sensitised, in rolls, unexposed, without perforations, width > 105 mm to 610 mm (excl. that of paper, paperboard or textiles)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2525|370252|"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ""polychrome"", width <= 16 mm (excl. of paper, paperboard or textiles)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2526|370253|"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ""polychrome"", width > 16 mm to 35 mm, length <= 30 m, for slides"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2527|370254|"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ""polychrome"", width > 16 mm but <= 35 mm, length <= 30 m (excl. of paper, paperboard and textiles; for slides)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2528|370255|"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ""polychrome"", width > 16 mm but <= 35 mm, length > 30 m (excl. of paper, paperboard and textiles; for slides)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2529|370256|"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ""polychrome"", width > 35 mm (excl. that of paper, paperboard or textiles)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2531|370296|Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, width <= 35 mm, length <= 30 m (excl. of paper, paperboard and textiles; X-ray film)|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2532|370297|Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, width <= 35 mm, length > 30 m (excl. of paper, paperboard and textiles; X-ray film)|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2533|370298|Photographic film, sensitised, in rolls, unexposed, with perforations, for monochrome photography, width > 35 mm (excl. of paper, paperboard and textiles; X-ray film)|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2534|370300|Photographic paper, paperboard and textiles, sensitised, unexposed|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2535|370310|Photographic paper, paperboard and textiles, sensitised, unexposed, in rolls > 610 mm wide|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2536|370320|"Photographic paper, paperboard and textiles, sensitised, unexposed, for colour photography ""polychrome"" (excl. products in rolls > 610 mm wide)"|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2537|370390|Photographic paper, paperboard and textiles, sensitised, unexposed, for monochrome photography (excl. products in rolls > 610 mm wide)|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2538|370400|Photographic plates, film, paper, paperboard and textiles, exposed but not developed|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2539|370500|Photographic plates and film, exposed and developed (excl. products made of paper, paperboard or textiles, cinematographic film and ready-to-use printing plates)|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2540|370600|Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting only of soundtrack|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2541|370610|Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting only of soundtrack, width >= 35 mm|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2542|370690|Cinematographic film, exposed and developed, whether or not incorporating soundtrack or consisting only of soundtrack, width < 35 mm|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2543|370700|Chemical preparations for photographic uses (excl. varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, in measured doses or put up for retail sale ready for use (excl. salts, precious-metal compounds and products of heading 2843 to 2846)|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2544|370710|"Sensitising emulsions ""for photographic uses"""|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2545|370790|Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions or put up for retail sale in a form ready for use (excl. varnishes, glues, adhesives and similar preparations, sensitising emulsions and salts and precious-metal compounds etc. of heading 2843 to 2846)|PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
2546|380021|MISCELLANEOUS CHEMICAL PRODUCTS|MISCELLANEOUS CHEMICAL PRODUCTS
2547|380100|Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semi-manufactures|MISCELLANEOUS CHEMICAL PRODUCTS
2548|380110|Artificial graphite (excl. retort graphite, retort carbon and goods of artificial graphite, incl. refractory materials based on artificial graphite)|MISCELLANEOUS CHEMICAL PRODUCTS
2549|380120|Colloidal or semi-colloidal graphite|MISCELLANEOUS CHEMICAL PRODUCTS
2550|380130|Carbonaceous pastes for electrodes and similar pastes for furnace linings|MISCELLANEOUS CHEMICAL PRODUCTS
2551|380190|Preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semi-manufactures (excl. carbonaceous pastes for electrodes and similar pastes for furnace linings)|MISCELLANEOUS CHEMICAL PRODUCTS
2552|380200|Activated carbon; activated natural mineral products; animal black, whether or not spent|MISCELLANEOUS CHEMICAL PRODUCTS
2553|380210|Activated carbon (excl. medicaments or deodorant products for fridges, vehicles etc., put up for retail sale)|MISCELLANEOUS CHEMICAL PRODUCTS
2554|380290|Activated kieselguhr and other activated natural mineral products; animal black, whether or not spent (excl. activated carbon, calcinated diatomite without the addition of sintering agents and activated chemical products)|MISCELLANEOUS CHEMICAL PRODUCTS
2555|380300|Tall oil, whether or not refined|MISCELLANEOUS CHEMICAL PRODUCTS
2556|380400|"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, incl. lignin sulphonates (excl. tall oil, sodium hydroxide ""caustic soda"" and sulphate pitch)"|MISCELLANEOUS CHEMICAL PRODUCTS
2557|380500|Gum, wood or sulphate turpentine and other terpenic oils produced by the distillation or other treatment of coniferous woods; crude dipentene; sulphite turpentine and other crude para-cymene; pine oil containing alpha-terpineol as the main constituent|MISCELLANEOUS CHEMICAL PRODUCTS
2558|380510|Gum, wood or sulphate turpentine oils|MISCELLANEOUS CHEMICAL PRODUCTS
2559|380590|Crude dipentene; sulphite turpentine and other crude para-cymene; terpenic oils produced by the distillation or other treatment of coniferous woods (excl. gum turpentine, wood turpentine and sulphate turpentine)|MISCELLANEOUS CHEMICAL PRODUCTS
2560|380600|Rosin, resin acids and derivatives thereof; rosin spirit and rosin oils; run gums|MISCELLANEOUS CHEMICAL PRODUCTS
2561|380610|Rosin and resin acids|MISCELLANEOUS CHEMICAL PRODUCTS
2562|380620|Salts of rosin, of resin acids or of derivatives of rosin or resin acids (excl. salts of rosin adducts)|MISCELLANEOUS CHEMICAL PRODUCTS
2563|380630|Ester gums|MISCELLANEOUS CHEMICAL PRODUCTS
2564|380690|"Derivatives of rosin, incl. salts of rosin adducts, and of resin acids, light and heavy resin oils and modified natural resins obtained by heat treatment ""run gums"" (excl. salts of rosin, of resin acids or salts of derivatives of rosin or resin acids, and ester gums)"|MISCELLANEOUS CHEMICAL PRODUCTS
2565|380700|Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewer's pitch and similar preparations based on rosin, resin acids or vegetable pitch (excl. Burgundy pitch, yellow pitch, stearin pitch, fatty acid pitch, fatty tar and glycerin pitch)|MISCELLANEOUS CHEMICAL PRODUCTS
2566|380800|Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products and plant-growth regulators, disinfectants and similar products, put up for retail sale or as preparations or articles, e.g. sulphur-treated bands, wicks and candles, and fly-papers|MISCELLANEOUS CHEMICAL PRODUCTS
2568|380852|"DDT ""ISO"" ""clofenotane ""INN"""", in packings of a net weight content <= 300 g"|MISCELLANEOUS CHEMICAL PRODUCTS
2569|380859|Goods of heading 3808 containing one or more of the following substances: alachlor (ISO); aldicarb (ISO); aldrin (ISO); azinphos-methyl (ISO); binapacryl (ISO); camphechlor (ISO) (toxaphene); captafol (ISO); chlordane (ISO); chlordimeform (ISO); chlorobenzilate (ISO); dieldrin (ISO, INN); 4,6-dinitro-o-cresol (DNOC (ISO)) or its salts; dinoseb (ISO), its salts or its esters; endosulfan (ISO); ethylene dibromide (ISO) (1,2-dibromoethane); ethylene dichloride (ISO) (1,2-dichloroethane); fluoroacetamide (ISO); heptachlor (ISO); hexachlorobenzene (ISO); 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN); mercury compounds; methamidophos (ISO); monocrotophos (ISO); oxirane (ethylene oxide); parathion (ISO); parathion-methyl (ISO) (methyl-parathion); penta-and-octabromodiphenyl ethers; pentachlorophenol (ISO), its salts or its esters; perfluorooctane sulphonic acid and its salts; perfluorooctane sulphonamides; perfluorooctane sulphonyl fluoride; phosphamidon (ISO); 2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts or its esters; tributyltin compounds. Also dustable powder formulations containing a mixture of benomyl (ISO), carbofuran (ISO) and thiram (ISO)|MISCELLANEOUS CHEMICAL PRODUCTS
2571|380861|"Goods of heading 3808, containing alpha-cypermethrin ""ISO"", bendiocarb ""ISO"", bifenthrin ""ISO"", chlorfenapyr ""ISO"", cyfluthrin ""ISO"", deltamethrin ""INN, ISO"", etofenprox ""INN"", fenitrothion ""ISO"", lambda-cyhalothrin ""ISO"", malathion ""ISO"", pirimiphos-methyl ""ISO"" or propoxur ""ISO"", in packings of a net weight content <= 300 g"|MISCELLANEOUS CHEMICAL PRODUCTS
2572|380862|"Goods of heading 3808, containing alpha-cypermethrin ""ISO"", bendiocarb ""ISO"", bifenthrin ""ISO"", chlorfenapyr ""ISO"", cyfluthrin ""ISO"", deltamethrin ""INN, ISO"", etofenprox ""INN"", fenitrothion ""ISO"", lambda-cyhalothrin ""ISO"", malathion ""ISO"", pirimiphos-methyl ""ISO"" or propoxur ""ISO"", in packings of a net weight content > 300 g but <= 7,5 kg"|MISCELLANEOUS CHEMICAL PRODUCTS
2573|380869|"Goods of heading 3808, containing alpha-cypermethrin ""ISO"", bendiocarb ""ISO"", bifenthrin ""ISO"", chlorfenapyr ""ISO"", cyfluthrin ""ISO"", deltamethrin ""INN, ISO"", etofenprox ""INN"", fenitrothion ""ISO"", lambda-cyhalothrin ""ISO"", malathion ""ISO"", pirimiphos-methyl ""ISO"" or propoxur ""ISO"" (excl. in packings of a net weight content <= 7,5 kg)"|MISCELLANEOUS CHEMICAL PRODUCTS
2575|380891|Insecticides, put up in forms or packings for retail sale or as preparations or articles (excl. goods of subheadings 3808.52 to 3808.69)|MISCELLANEOUS CHEMICAL PRODUCTS
2576|380892|Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. goods of subheading 3808.59)|MISCELLANEOUS CHEMICAL PRODUCTS
2577|380893|Herbicides, anti-sprouting products and plant-growth regulators, put up in forms or packings for retail sale or as preparations or articles (excl. goods of subheading 3808.59)|MISCELLANEOUS CHEMICAL PRODUCTS
2578|380894|Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. goods of subheading 3808.59)|MISCELLANEOUS CHEMICAL PRODUCTS
2579|380899|Rodenticides and other plant protection products put up for retail sale or as preparations or articles (excl. insecticides, fungicides, herbicides, disinfectants, and goods of subheading 3808.59)|MISCELLANEOUS CHEMICAL PRODUCTS
2580|380900|Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products and preparations such as dressings and mordants of a kind used in the textile, paper, leather or like industries, n.e.s.|MISCELLANEOUS CHEMICAL PRODUCTS
2581|380910|Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products and preparations such as dressings and mordants of a kind used in the textile, paper, leather or like industries, n.e.s., based on starch or derivatives thereof|MISCELLANEOUS CHEMICAL PRODUCTS
2583|380991|Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products and preparations, e.g. dressings and mordants of a kind used in the textile or similar industries, n.e.s. (excl. those with a basis of amylaceous substances)|MISCELLANEOUS CHEMICAL PRODUCTS
2584|380992|Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products and preparations, e.g. dressings and mordants of a kind used in the paper or similar industries, n.e.s. (excl. those with a basis of amylaceous substances)|MISCELLANEOUS CHEMICAL PRODUCTS
2585|380993|Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products and preparations, e.g. dressings and mordants of a kind used in the leather or similar industries, n.e.s. (excl. those with a basis of amylaceous substances)|MISCELLANEOUS CHEMICAL PRODUCTS
2586|381000|Pickling preparations for metal surfaces; fluxes and other auxiliary preparations for soldering, brazing or welding; soldering, brazing or welding pastes and powders consisting of metal and other materials; preparations of a kind used as coatings or cores for welding electrodes or rods|MISCELLANEOUS CHEMICAL PRODUCTS
2587|381010|Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders consisting of metal and other materials|MISCELLANEOUS CHEMICAL PRODUCTS
2588|381090|Fluxes and other auxiliary preparations for soldering, brazing or welding; preparations of a kind used as cores or coatings for welding electrodes or rods (excl. soldering, brazing or welding powders and pastes consisting of metal and other materials, and welding electrodes or rods of base metals or metal carbides coated with fluxes)|MISCELLANEOUS CHEMICAL PRODUCTS
2589|381100|Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and other prepared additives, for mineral oils, incl. gasoline, or for other liquids used for the same purposes as mineral oils|MISCELLANEOUS CHEMICAL PRODUCTS
2591|381111|Anti-knock preparations for motor fuels based on lead compounds|MISCELLANEOUS CHEMICAL PRODUCTS
2592|381119|Anti-knock preparations for motor fuels (excl. those based on lead compounds)|MISCELLANEOUS CHEMICAL PRODUCTS
2594|381121|Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil|MISCELLANEOUS CHEMICAL PRODUCTS
2595|381129|Prepared additives for oil lubricants not containing petroleum oil or bituminous mineral oil|MISCELLANEOUS CHEMICAL PRODUCTS
2596|381190|Oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and other prepared additives for mineral oils, incl. gasoline, or for other liquids used for the same purposes as mineral oils (excl. anti-knock preparations and oil lubricant additives)|MISCELLANEOUS CHEMICAL PRODUCTS
2597|381200|Prepared rubber accelerators; compound plasticisers for rubber or plastics, n.e.s.; anti-oxidising preparations and other compound stabilisers for rubber or plastics|MISCELLANEOUS CHEMICAL PRODUCTS
2598|381210|Prepared rubber accelerators|MISCELLANEOUS CHEMICAL PRODUCTS
2599|381220|Compound plasticisers for rubber or plastics, n.e.s.|MISCELLANEOUS CHEMICAL PRODUCTS
2601|381231|"Mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline ""TMQ"""|MISCELLANEOUS CHEMICAL PRODUCTS
2602|381239|"Anti-oxidising preparations and other compound stabilisers for rubber or plastics (excl. mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline ""TMQ"")"|MISCELLANEOUS CHEMICAL PRODUCTS
2603|381300|Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excl. full or empty fire-extinguishing devices, whether or not portable, unmixed chemically undefined products with fire-extinguishing properties in other forms)|MISCELLANEOUS CHEMICAL PRODUCTS
2604|381400|Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excl. nail varnish remover)|MISCELLANEOUS CHEMICAL PRODUCTS
2605|381500|Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excl. rubber accelerators)|MISCELLANEOUS CHEMICAL PRODUCTS
2607|381511|Supported catalysts with nickel or a nickel compound as the active substance, n.e.s.|MISCELLANEOUS CHEMICAL PRODUCTS
2608|381512|Supported catalysts with precious metal or a precious-metal compound as the active substance, n.e.s.|MISCELLANEOUS CHEMICAL PRODUCTS
2609|381519|Supported catalysts, n.e.s. (excl. with precious metal, a precious-metal compound, nickel or a nickel compound as the active substance)|MISCELLANEOUS CHEMICAL PRODUCTS
2610|381590|Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excl. rubber accelerators and supported catalysts)|MISCELLANEOUS CHEMICAL PRODUCTS
2611|381600|Refractory cements, mortars, concretes and similar compositions (excl. preparations based on graphite or other carbonaceous substances)|MISCELLANEOUS CHEMICAL PRODUCTS
2612|381700|Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene (excl. mixed isomers of cyclic hydrocarbons)|MISCELLANEOUS CHEMICAL PRODUCTS
2613|381800|Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, cylinders, rods or similar forms, or cut into discs, wafers or similar forms, whether or not polished or with a uniform epitaxial coating (excl. elements that have been further processed, e.g. by selective diffusion)|MISCELLANEOUS CHEMICAL PRODUCTS
2614|381900|Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing petroleum oil or bituminous mineral oil, or containing < 70% petroleum oil or bituminous mineral oil by weight|MISCELLANEOUS CHEMICAL PRODUCTS
2615|382000|Anti-freezing preparations and prepared de-icing fluids (excl. prepared additives for mineral oils or other liquids used for the same purposes as mineral oils)|MISCELLANEOUS CHEMICAL PRODUCTS
2616|382100|"Prepared culture media for the development or maintenance of micro-organisms ""incl. viruses and the like"" or of plant, human or animal cells"|MISCELLANEOUS CHEMICAL PRODUCTS
2617|382200|Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, and certified reference materials (excl. compound diagnostic reagents designed to be administered to the patient, blood-grouping reagents, animal blood prepared for therapeutic, prophylactic or diagnostic uses and vaccines, toxins, cultures of micro-organisms and similar products)|MISCELLANEOUS CHEMICAL PRODUCTS
2618|382300|Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols|MISCELLANEOUS CHEMICAL PRODUCTS
2620|382311|Stearic acid, industrial|MISCELLANEOUS CHEMICAL PRODUCTS
2621|382312|Oleic acid, industrial|MISCELLANEOUS CHEMICAL PRODUCTS
2622|382313|Tall oil fatty acids, industrial|MISCELLANEOUS CHEMICAL PRODUCTS
2623|382319|Fatty acids, industrial, monocarboxylic; acid oils from refining (excl. stearic acid, oleic acid and tall oil fatty acids)|MISCELLANEOUS CHEMICAL PRODUCTS
2624|382370|Fatty alcohols, industrial|MISCELLANEOUS CHEMICAL PRODUCTS
2625|382400|Prepared binders for foundry moulds or cores; chemical products and preparations for the chemical or allied industries, incl. mixtures of natural products, n.e.s.|MISCELLANEOUS CHEMICAL PRODUCTS
2626|382410|Prepared binders for foundry moulds or cores|MISCELLANEOUS CHEMICAL PRODUCTS
2627|382430|Non-agglomerated metal carbides mixed together or with metallic binders|MISCELLANEOUS CHEMICAL PRODUCTS
2628|382440|Prepared additives for cements, mortars or concretes|MISCELLANEOUS CHEMICAL PRODUCTS
2629|382450|Non-refractory mortars and concretes|MISCELLANEOUS CHEMICAL PRODUCTS
2630|382460|Sorbitol (excl. D-glucitol [sorbitol])|MISCELLANEOUS CHEMICAL PRODUCTS
2632|382471|"Mixtures containing chlorofluorocarbons ""CFCs"", whether or not containing hydrochlorofluorocarbons ""HCFCs"", perfluorocarbons ""PFCs"" or hydrofluorocarbons ""HFCs"""|MISCELLANEOUS CHEMICAL PRODUCTS
2633|382472|Mixtures containing bromochlorodifluoromethane, bromotrifluoromethane or dibromotetrafluoroethanes|MISCELLANEOUS CHEMICAL PRODUCTS
2634|382473|"Mixtures containing hydrobromofluorocarbons ""HBFCs"""|MISCELLANEOUS CHEMICAL PRODUCTS
2635|382474|"Mixtures containing hydrochlorofluorocarbons ""HCFCs"", whether or not containing perfluorocarbons ""PFCs"" or hydrofluorocarbons ""HFCs"", but not containing chlorofluorocarbons ""CFCs"""|MISCELLANEOUS CHEMICAL PRODUCTS
2636|382475|Mixtures containing carbon tetrachloride|MISCELLANEOUS CHEMICAL PRODUCTS
2637|382476|"Mixtures containing 1,1,1-trichloroethane ""methyl chloroform"""|MISCELLANEOUS CHEMICAL PRODUCTS
2638|382477|"Mixtures containing bromomethane ""methyl bromide"" or bromochloromethane"|MISCELLANEOUS CHEMICAL PRODUCTS
2639|382478|"Mixtures containing perfluorocarbons ""PFCs"" or hydrofluorocarbons ""HFCs"", but not containing chlorofluorocarbons ""CFCs"" or hydrochlorofluorocarbons ""HCFCs"""|MISCELLANEOUS CHEMICAL PRODUCTS
2640|382479|Mixtures containing halogenated derivatives of methane, ethane or propane (excl. those of subheadings 3824.71.00 to 3824.78.00)|MISCELLANEOUS CHEMICAL PRODUCTS
2642|382481|"Mixtures and preparations containing oxirane ""ethylene oxide"""|MISCELLANEOUS CHEMICAL PRODUCTS
2643|382482|"Mixtures and preparations containing polychlorinated biphenyls ""PCBs"", polychlorinated terphenyls ""PCTs"" or polybrominated biphenyls ""PBBs"""|MISCELLANEOUS CHEMICAL PRODUCTS
2644|382483|"Mixtures and preparations containing tris""2,3-dibromopropyl"" phosphate"|MISCELLANEOUS CHEMICAL PRODUCTS
2645|382484|"Mixtures and preparations containing aldrin ""ISO"", camphechlor ""ISO"" ""toxaphene"", chlordane ""ISO"", chlordecone ""ISO"", DDT ""ISO"" ""clofenotane ""INN"", 1,1,1-trichloro-2,2-bis""p-chlorophenyl""ethane"", dieldrin ""ISO, INN"", endosulfan ""ISO"", endrin ""ISO"", heptachlor ""ISO"" or mirex ""ISO"""|MISCELLANEOUS CHEMICAL PRODUCTS
