id_country|alpha-3|country|region|sub-region
216|IOT|British Indian Ocean Territory|Africa|Sub-Saharan Africa
217|BRN|Brunei Darussalam|Asia|South-eastern Asia
218|CPV|Cabo Verde|Africa|Sub-Saharan Africa
219|CYM|Cayman Islands|Americas|Latin America and the Caribbean
220|CXR|Christmas Island|Oceania|Australia and New Zealand
221|CCK|Cocos (Keeling) Islands|Oceania|Australia and New Zealand
222|COG|Congo|Africa|Sub-Saharan Africa
223|COD|Congo (Democratic Republic Of The)|Africa|Sub-Saharan Africa
224|CIV|Côte D'Ivoire|Africa|Sub-Saharan Africa
225|CUW|Curaçao|Americas|Latin America and the Caribbean
226|SWZ|Eswatini|Africa|Sub-Saharan Africa
227|FLK|Falkland Islands (Malvinas)|Americas|Latin America and the Caribbean
228|FRO|Faroe Islands|Europe|Northern Europe
229|GUF|French Guiana|Americas|Latin America and the Caribbean
230|PYF|French Polynesia|Oceania|Polynesia
231|ATF|French Southern Territories|Africa|Sub-Saharan Africa
232|GMB|Gambia|Africa|Sub-Saharan Africa
233|GIB|Gibraltar|Europe|Southern Europe
234|GRL|Greenland|Americas|Northern America
235|GLP|Guadeloupe|Americas|Latin America and the Caribbean
236|GUM|Guam|Oceania|Micronesia
237|GGY|Guernsey|Europe|Northern Europe
238|GNB|Guinea Bissau|Africa|Sub-Saharan Africa
239|HMD|Heard Island and McDonald Islands|Oceania|Australia and New Zealand
240|VAT|Holy See|Europe|Southern Europe
241|HKG|Hong Kong|Asia|Eastern Asia
242|IMN|Isle of Man|Europe|Northern Europe
243|JEY|Jersey|Europe|Northern Europe
244|KOR|Korea, Republic of|Asia|Eastern Asia
245|MAC|Macao|Asia|Eastern Asia
246|MTQ|Martinique|Americas|Latin America and the Caribbean
247|MYT|Mayotte|Africa|Sub-Saharan Africa
248|FSM|Micronesia (Federated States of)|Oceania|Micronesia
249|MSR|Montserrat|Americas|Latin America and the Caribbean
250|NCL|New Caledonia|Oceania|Melanesia
251|NFK|Norfolk Island|Oceania|Australia and New Zealand
252|MNP|Northern Mariana Islands|Oceania|Micronesia
253|PSE|Palestine, State of|Asia|Western Asia
254|PCN|Pitcairn|Oceania|Polynesia
255|PRI|Puerto Rico|Americas|Latin America and the Caribbean
256|REU|Réunion|Africa|Sub-Saharan Africa
257|BLM|Saint Barthélemy|Americas|Latin America and the Caribbean
258|SHN|Saint Helena, Ascension and Tristan da Cunha|Africa|Sub-Saharan Africa
259|MAF|Saint Martin (French part)|Americas|Latin America and the Caribbean
260|SPM|Saint Pierre and Miquelon|Americas|Northern America
261|VCT|Saint Vincent and the Grenadines|Americas|Latin America and the Caribbean
262|SXM|Sint Maarten (Dutch part)|Americas|Latin America and the Caribbean
263|SGS|South Georgia and the South Sandwich Islands|Americas|Latin America and the Caribbean
264|SJM|Svalbard and Jan Mayen|Europe|Northern Europe
265|TWN|Taiwan|Asia|Eastern Asia
266|TLS|Timor-Leste|Asia|South-eastern Asia
267|TKL|Tokelau|Oceania|Polynesia
268|TCA|Turks and Caicos Islands|Americas|Latin America and the Caribbean
269|UMI|United States Minor Outlying Islands|Oceania|Micronesia
270|VGB|Virgin Islands (British)|Americas|Latin America and the Caribbean
271|VIR|Virgin Islands (U.S.)|Americas|Latin America and the Caribbean
272|WLF|Wallis and Futuna|Oceania|Polynesia
273|ESH|Western Sahara|Africa|Northern Africa
